Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado
Mar 2006,"1,199,290.4",23.7,"913,508.8",18.1,"59,892.4",1.2,"101,756.4",2.0,"113,294.4",2.2,"10,838.4",0.2,"1,078.9",0.021320222
Abr 2006,"1,228,140.1",24.3,"945,764.7",18.7,"61,863.5",1.2,"97,718.7",1.9,"113,236.1",2.2,"9,557.1",0.2,"1,097.3",0.021683826
May 2006,"1,241,060.8",24.5,"961,475.1",19.0,"61,330.2",1.2,"99,758.9",2.0,"109,993.8",2.2,"8,502.8",0.2,"1,638.3",0.032374566
Jun 2006,"1,246,384.6",24.6,"977,228.4",19.3,"54,886.1",1.1,"96,698.0",1.9,"109,780.1",2.2,"7,792.0",0.2,"2,243.6",0.044335944
Jul 2006,"1,257,416.8",24.8,"990,634.9",19.6,"54,982.8",1.1,"95,766.6",1.9,"108,919.1",2.2,"7,113.4",0.1,"1,898.2",0.037510469
Ago 2006,"1,258,899.9",24.9,"1,008,071.9",19.9,"56,074.8",1.1,"95,834.5",1.9,"92,016.1",1.8,"6,902.6",0.1,"1,601.9",0.031655263
Sep 2006,"1,284,114.9",25.4,"1,042,630.3",20.6,"55,445.6",1.1,"96,703.3",1.9,"82,982.9",1.6,"6,352.8",0.1,"1,646.8",0.032542535
Oct 2006,"1,303,573.6",25.8,"1,072,553.7",21.2,"55,920.2",1.1,"93,786.2",1.9,"73,913.9",1.5,"7,399.6",0.1,"1,775.9",0.03509369
Nov 2006,"1,338,026.2",26.4,"1,099,999.6",21.7,"61,433.2",1.2,"96,845.3",1.9,"71,154.5",1.4,"8,593.6",0.2,"1,874.9",0.037050036
Dic 2006,"1,371,969.9",27.1,"1,134,434.4",22.4,"60,671.3",1.2,"94,721.0",1.9,"70,919.3",1.4,"11,223.9",0.2,"2,399.2",0.047410767
Ene 2007,"1,374,245.8",27.2,"1,130,413.6",22.3,"60,733.9",1.2,"99,009.3",2.0,"71,120.1",1.4,"12,968.9",0.3,"2,248.3",0.044428821
Feb 2007,"1,410,070.8",27.9,"1,166,441.2",23.1,"60,577.7",1.2,"97,988.9",1.9,"71,049.3",1.4,"14,013.7",0.3,"2,094.7",0.04139352
Mar 2007,"1,438,934.2",28.4,"1,191,187.8",23.5,"64,016.5",1.3,"98,218.0",1.9,"69,842.2",1.4,"15,669.7",0.3,"2,663.0",0.052623738
Abr 2007,"1,464,389.2",28.9,"1,215,466.2",24.0,"64,267.7",1.3,"101,177.5",2.0,"68,752.6",1.4,"14,725.2",0.3,"2,763.1",0.054601821
May 2007,"1,485,028.0",29.3,"1,238,584.4",24.5,"64,376.9",1.3,"98,562.6",1.9,"68,601.7",1.4,"14,902.4",0.3,"2,115.0",0.04179467
Jun 2007,"1,523,949.6",30.1,"1,274,042.2",25.2,"65,508.4",1.3,"101,255.2",2.0,"68,659.9",1.4,"14,483.9",0.3,"2,371.1",0.046855481
