value,group,percentage
38600.4,E,0.01192895
630.3,F,0.000194786
2495243.1,A,0.756192431
260458,B,0.078932737
501714.8,C,0.152046482
0,D,0
42330.3,E,0.01282835
1031.6,F,0.00031263
2514595.1,A,0.756538485
252573.7,B,0.075989063
515314.3,C,0.155036928
0,D,0
41333.4,E,0.012435524
1253.6,F,0.000377157
2511249.7,A,0.75817448
244905.4,B,0.07393969
513961.5,C,0.155170748
0,D,0
42115.3,E,0.012715082
1628.6,F,0.000491693
2551123.3,A,0.761576675
245098.6,B,0.073168309
510865,C,0.152506493
0.2,D,5.97052E-08
42704.7,E,0.012748464
1312.7,F,0.000391875
2585404.7,A,0.763201076
247924.3,B,0.073186257
508082.2,C,0.149983823
0.2,D,5.90392E-08
46168.6,E,0.013628785
2149.4,F,0.000634494
2618001.8,A,0.75954455
254888.6,B,0.073949241
508684.3,C,0.147581406
0.2,D,5.80248E-08
65229.8,E,0.018924715
2180.2,F,0.000632528
2617240.8,A,0.7628603
253794.6,B,0.073974785
508245.2,C,0.148140777
0,D,0
51545.2,E,0.015024138
2242.5,F,0.000653633
2638269,A,0.76084057
254857.6,B,0.073497434
528509.2,C,0.1524148
0,D,0
45935.6,E,0.013247197
1912.2,F,0.000551452
2678349.3,A,0.761300166
259893.2,B,0.073872641
532609.3,C,0.151390093
0,D,0
47273.4,E,0.0134371
1791,F,0.000509078
2737880.5,A,0.765449667
253752.2,B,0.070943395
536136,C,0.149891539
0,D,0
49057.6,E,0.013715399
932.3,F,0.00026065
2757940.4,A,0.770991228
249413.5,B,0.069724357
524500.1,C,0.146625712
0,D,0
45281.9,E,0.012658703
972.8,F,0.000271949
2792209.8,A,0.767575337
269682.6,B,0.074135444
526639.9,C,0.144772717
0,D,0
49169,E,0.013516503
797.6,F,0.000219259
2845968.8,A,0.759200188
295040,B,0.078705861
556415.6,C,0.148431293
0,D,0
51216.4,E,0.013662659
2144.2,F,0.000571994
2901760.7,A,0.764672017
286795.6,B,0.07557638
555464.9,C,0.146376118
0,D,0
